자치구,살인 발생(2015),살인 검거(2015),강도 발생(2015),강도 검거(2015),"강간,추행 발생(2015)","강간,추행 검거(2015)",절도 발생(2015),절도 검거(2015),폭력 발생(2015),폭력 검거(2015),살인 발생(2016),살인 검거(2016),강도 발생(2016),강도 검거(2016),"강간,추행 발생(2016)","강간,추행 검거(2016)",절도 발생(2016),절도 검거(2016),폭력 발생(2016),폭력 검거(2016),살인 발생(2017),살인 검거(2017),강도 발생(2017),강도 검거(2017),"강간,추행 발생(2017)","강간,추행 검거(2017)",절도 발생(2017),절도 검거(2017),폭력 발생(2017),폭력 검거(2017),살인 발생(2018),살인 검거(2018),강도 발생(2018),강도 검거(2018),"강간,추행 발생(2018)","강간,추행 검거(2018)",절도 발생(2018),절도 검거(2018),폭력 발생(2018),폭력 검거(2018),살인 발생(2019),살인 검거(2019),강도 발생(2019),강도 검거(2019),"강간,추행 발생(2019)","강간,추행 검거(2019)",절도 발생(2019),절도 검거(2019),폭력 발생(2019),폭력 검거(2019),살인 발생(2020),살인 검거(2020),강도 발생(2020),강도 검거(2020),"강간,추행 발생(2020)","강간,추행 검거(2020)",절도 발생(2020),절도 검거(2020),폭력 발생(2020),폭력 검거(2020)
합계,163,156,276,257,"5,449","5,069","55,307","21,842","65,206","55,356",148,147,262,257,"6,002","5,565","46,857","22,566","64,570","55,886",142,140,169,170,"6,963","6,558","41,162","21,421","59,399","51,576",143,139,143,151,"6,412","6,046","39,175","19,762","56,075","48,389",136,128,136,133,"6,469","6,007","42,204","21,284","54,723","47,253",141,126,138,132,"5,763","5,458","38,293","19,705","48,344","41,127"
종로구,6,8,11,13,211,"1,139","2,184","1,145","2,293","2,125",6,5,12,14,238,"1,106","1,940","1,020","2,263","2,153",7,9,10,15,253,"1,412","1,644",905,"2,143","2,096",6,7,3,7,236,"1,100","1,483",969,"1,962","1,830",4,5,7,8,238,"1,143","1,515","1,069","2,082","1,892",9,7,7,9,192,855,"1,183",944,"1,711","1,528"
중구,3,2,9,6,170,111,"2,548",859,"2,224","1,964",3,3,8,7,198,148,"2,150",914,"2,225","1,996",1,-,9,9,267,149,"1,846",889,"2,061","1,804",2,2,11,11,207,115,"1,855",832,"1,955","1,719",2,1,6,5,195,115,"2,202","1,050","1,922","1,633",2,2,5,6,186,128,"1,642",863,"1,576","1,324"
용산구,5,5,14,14,194,173,"1,557",587,"2,050","1,704",4,4,9,10,251,214,"1,489",599,"2,384","2,008",1,1,5,4,327,289,"1,346",626,"2,381","2,016",1,1,3,2,331,285,"1,096",522,"1,980","1,733",3,3,3,4,272,237,999,544,"2,036","1,823",5,3,6,6,230,186,"1,111",534,"1,617","1,327"
성동구,4,4,9,8,126,119,"1,607",597,"1,612","1,395",4,5,3,5,104,78,"1,296",896,"1,619","1,408",1,1,3,3,132,106,"1,072",543,"1,559","1,378",2,2,5,8,126,102,999,487,"1,325","1,188",6,5,9,10,133,96,970,511,"1,394","1,216",5,5,3,3,115,98,"1,016",565,"1,223","1,103"
광진구,4,4,14,26,240,220,"3,026","1,277","2,625","2,180",4,4,11,6,279,234,"2,636","1,057","2,392","2,011",6,5,13,8,261,208,"2,220","1,168","2,146","1,900",7,5,2,1,229,184,"1,769",974,"1,908","1,625",4,5,6,5,273,213,"1,875","1,008","1,853","1,585",2,2,4,4,255,224,"1,664",874,"1,676","1,407"
동대문구,5,5,13,13,173,146,"1,981",814,"2,548","2,227",5,5,10,12,190,158,"1,940","1,071","2,642","2,377",11,10,3,5,165,149,"1,547","1,017","2,249","2,093",2,2,5,4,145,112,"1,447",930,"2,081","1,920",6,6,10,9,168,143,"1,531",827,"1,977","1,833",10,8,6,5,161,142,"1,440",713,"1,784","1,597"
중랑구,13,12,11,9,187,148,"2,135",829,"2,847","2,407",8,7,14,14,164,150,"1,691","1,052","3,164","2,712",5,5,3,4,172,144,"1,533",813,"2,858","2,426",4,5,3,3,174,145,"1,526",876,"2,581","2,193",10,10,4,5,138,108,"1,666",908,"2,450","2,107",10,9,5,6,183,153,"1,506",889,"2,022","1,724"
성북구,5,5,5,4,150,124,"1,785",741,"2,209","1,855",4,3,8,8,154,117,"1,470",725,"2,108","1,819",7,7,8,8,173,134,"1,344",703,"1,902","1,627",7,6,1,2,183,140,"1,164",635,"1,687","1,494",3,3,3,3,176,130,"1,082",731,"1,613","1,456",4,4,3,2,142,121,988,580,"1,430","1,240"
강북구,7,8,14,13,153,126,"1,434",618,"2,649","2,348",7,6,5,4,217,159,"1,222",672,"2,778","2,482",8,8,7,5,208,153,"1,014",635,"2,156","2,023",8,6,7,7,188,135,"1,112",603,"2,122","1,992",6,6,3,2,176,145,"1,229",664,"2,424","2,206",9,8,5,4,159,132,780,490,"1,817","1,625"
도봉구,3,3,9,10,102,106,"1,063",478,"1,487","1,303",3,3,5,5,123,121,866,492,"1,441","1,309",1,1,3,3,104,115,633,417,"1,258","1,116",1,1,5,3,113,117,781,431,"1,349","1,124",1,1,5,5,90,83,790,394,"1,224","1,014",-,-,2,2,82,87,861,379,"1,234","1,022"
노원구,10,10,7,7,197,121,"2,193",801,"2,723","2,329",5,6,6,9,159,142,"1,857",740,"2,516","2,124",4,4,9,7,180,155,"1,538",757,"2,478","2,124",5,4,5,5,194,173,"1,422",585,"2,381","1,958",4,4,3,3,184,158,"1,498",681,"2,464","2,118",4,3,3,3,169,148,"1,404",646,"2,163","1,781"
은평구,3,3,9,6,166,141,"1,914",711,"2,653","2,306",6,6,9,7,156,142,"1,666",890,"2,664","2,308",6,6,4,4,230,213,"1,387",934,"2,256","2,050",8,8,1,1,188,169,"1,278",816,"2,115","1,869",3,3,1,1,194,162,"1,565",977,"2,117","1,857",4,4,4,3,171,145,"1,371",756,"1,840","1,623"
서대문구,2,2,5,4,154,124,"1,812",738,"2,056","1,711",6,7,5,4,175,147,"1,503",752,"1,976","1,644",4,4,1,2,202,181,"1,230",719,"1,676","1,393",5,4,3,3,206,189,"1,062",585,"1,526","1,235",2,1,5,5,175,154,"1,226",600,"1,535","1,260",3,3,2,1,159,149,"1,077",524,"1,292","1,029"
마포구,8,8,14,10,294,247,"2,555",813,"2,983","2,519",4,4,4,7,399,320,"2,527",940,"2,939","2,500",3,3,8,8,500,429,"2,094",837,"2,673","2,222",6,6,6,7,473,396,"2,011",882,"2,676","2,278",2,2,2,2,495,417,"2,190",917,"2,153","1,832",9,8,4,3,348,287,"1,483",679,"1,844","1,557"
양천구,3,5,6,3,120,105,"1,890",672,"2,509","2,030",5,5,7,7,131,108,"1,719",755,"2,250","1,918",3,2,3,2,138,122,"1,590",756,"2,148","1,778",2,3,4,14,120,111,"1,384",646,"2,005","1,685",6,6,2,2,127,112,"1,477",634,"1,602","1,370",5,5,3,3,109,90,"1,517",718,"1,582","1,270"
강서구,7,8,13,13,262,191,"2,096","1,260","3,207","2,718",9,10,10,10,275,239,"1,952","1,070","3,204","2,768",11,11,4,6,316,253,"1,888","1,113","2,916","2,544",11,9,6,3,269,246,"1,724",982,"2,619","2,229",8,9,3,4,306,257,"2,050","1,077","2,557","2,196",10,9,6,5,265,222,"1,689","1,070","2,445","2,087"
구로구,8,6,15,11,281,164,"2,335",889,"3,007","2,432",9,9,10,13,273,181,"1,910",861,"3,164","2,680",7,8,8,6,328,181,"1,725",869,"2,827","2,344",8,8,9,9,250,181,"1,717",787,"2,826","2,353",10,9,3,4,226,165,"1,916",965,"2,552","2,148",6,6,5,5,197,142,"1,763","1,008","2,204","1,823"
