순위,지역명
1,서울 강남구 대치동
2,서울 서초구 반포동
3,서울 양천구 목동
4,서울 강남구 개포동
5,서울 강남구 역삼동
6,서울 강남구 삼성동
7,서울 강남구 일원동
8,서울 서초구 방배동
9,서울 강남구 도곡동
10,서울 강남구 청담동
11,서울 마포구 대흥동
12,서울 서초구 서초동
13,서울 광진구 중곡동
14,서울 송파구 방이동
15,서울 도봉구 쌍문동
16,서울 성북구 정릉동
17,서울 송파구 잠실동
18,서울 노원구 중계동
19,서울 송파구 오금동
20,서울 양천구 신정동
21,서울 광진구 광장동
22,서울 영등포구 여의도동
23,서울 강서구 내발산동
24,서울 송파구 신천동
25,서울 강동구 고덕동
26,서울 은평구 진관동
27,서울 은평구 갈현동
28,서울 강남구 압구정동
29,서울 강북구 미아동
30,서울 동대문구 장안동
31,서울 금천구 시흥동
32,서울 마포구 아현동
33,서울 도봉구 창동
34,서울 송파구 송파동
35,서울 동작구 대방동
36,서울 노원구 하계동
37,서울 강서구 등촌동
38,서울 송파구 삼전동
39,서울 광진구 능동
40,서울 동대문구 신설동
41,서울 동작구 사당동
42,서울 성북구 종암동
43,서울 성동구 행당동
44,서울 강동구 상일동
45,서울 송파구 풍납동
46,서울 구로구 신도림동
47,서울 노원구 상계동
48,서울 용산구 이촌동
49,서울 관악구 봉천동
50,서울 강동구 둔촌동
51,서울 은평구 응암동
52,서울 성북구 돈암동
53,서울 구로구 구로동
54,서울 마포구 성산동
55,서울 동작구 신대방동
56,서울 은평구 신사동
57,서울 서대문구 홍은동
58,서울 동대문구 전농동
59,서울 종로구 혜화동
60,서울 영등포구 신길동
61,서울 관악구 신림동
62,서울 송파구 문정동
63,서울 광진구 자양동
64,서울 중구 신당동
65,서울 서대문구 북아현동
66,서울 노원구 월계동
67,서울 동대문구 회기동
68,서울 마포구 신수동
69,서울 마포구 상암동
70,서울 강북구 수유동
71,서울 강남구 수서동
72,서울 은평구 구산동
73,서울 동작구 동작동
74,서울 중랑구 묵동
75,서울 서대문구 대신동
76,서울 동대문구 휘경동
77,서울 중구 정동
78,서울 강서구 가양동
79,서울 서초구 양재동
80,서울 강동구 강일동
81,서울 성동구 성수동1가
82,서울 종로구 계동
83,서울 금천구 독산동
84,서울 강서구 방화동
85,서울 양천구 신월동
86,서울 성북구 석관동
87,서울 종로구 필운동
88,서울 성동구 사근동
89,서울 동대문구 청량리동
90,서울 중랑구 중화동
91,서울 성북구 성북동
92,서울 구로구 궁동
93,서울 광진구 화양동
94,서울 용산구 보광동
95,서울 용산구 용산동2가
96,서울 용산구 원효로4가
97,서울 마포구 연남동
98,서울 중랑구 망우동
99,서울 성북구 안암동2가
100,서울 종로구 홍지동
101,서울 강동구 명일동
102,서울 용산구 서계동
103,서울 종로구 평창동
104,서울 종로구 명륜1가
105,서울 서대문구 현저동
106,서울 성북구 길음동
107,서울 노원구 공릉동
108,서울 은평구 대조동
109,서울 강동구 암사동
110,서울 서대문구 북가좌동
111,서울 중랑구 면목동
112,서울 중랑구 상봉동
113,서울 송파구 장지동
114,서울 강동구 천호동
115,서울 광진구 구의동
116,서울 강남구 자곡동
117,서울 마포구 염리동
118,서울 도봉구 도봉동
119,서울 영등포구 양평동4가
120,서울 영등포구 양평동2가
121,서울 구로구 고척동
122,서울 강서구 마곡동
123,서울 강서구 화곡동
124,서울 중구 순화동
125,서울 종로구 청운동
126,서울 서대문구 충정로2가
127,서울 종로구 행촌동
128,서울 용산구 청파동3가
129,서울 종로구 안국동
130,서울 성북구 삼선동2가
131,서울 강남구 신사동
132,서울 서초구 잠원동
133,서울 도봉구 방학동
134,서울 송파구 가락동
