,line,address,latitude,longitude
0,1,서울특별시 중구 세종대로 지하2(남대문로 5가),37.55716,126.9726
1,1,서울특별시 중구 세종대로 지하101(정동),37.56544,126.977
2,1,서울특별시 종로구 종로 지하55(종로1가),37.57021,126.9832
3,1,서울특별시 종로구 종로 지하129(종로3가),37.57043,126.992
4,1,서울특별시 종로구 종로 지하216(종로5가),37.57091,127.0019
5,1,서울특별시 종로구 종로 지하302(창신동),37.57178,127.0112
6,1,서울특별시 동대문구 왕산로 지하1(신설동),37.57532,127.0247
7,1,서울특별시 동대문구 왕산로 지하93(제기동),37.5782,127.0347
8,1,서울특별시 동대문구 왕산로 지하205(전농동),37.58023,127.0451
9,1,서울특별시 종로구 종로 359(숭인동),37.57337,127.0168
10,2,서울특별시 중구 서소문로 지하127(서소문동),37.56358,126.9754
11,2,서울특별시 중구 을지로 지하42(을지로1가),37.56605,126.9824
12,2,서울특별시 중구 을지로 지하106(을지로3가),37.56627,126.9903
13,2,서울특별시 중구 을지로 지하178(을지로4가),37.56664,126.9979
14,2,서울특별시 중구 을지로 지하279(을지로7가),37.56559,127.0091
15,2,서울특별시 중구 퇴계로 지하431-1(신당동),37.56565,127.0195
16,2,서울특별시 성동구 왕십리로 지하374(하왕십리동),37.56447,127.029
17,2,서울특별시 성동구 왕십리로 지하300(행당동),37.56122,127.0367
18,2,서울특별시 성동구 왕십리로 206(행당동),37.55558,127.0436
19,2,서울특별시 성동구 아차산로 18(성수동1가),37.54719,127.0474
20,2,서울특별시 성동구 아차산로 100(성수동2가),37.5445,127.0561
21,2,서울특별시 광진구 아차산로 243(화양동),37.54042,127.0692
22,2,서울특별시 광진구 아차산로 384-1(구의동),37.53715,127.0862
23,2,서울특별시 광진구 강변역로 53(구의동),37.53517,127.0947
24,2,서울특별시 송파구 오금로 20(신천동),37.52069,127.1038
25,2,서울특별시 송파구 올림픽로 지하265(신천동),37.51386,127.1019
26,2,서울특별시 송파구 올림픽로 지하140(잠실동),37.51157,127.0864
27,2,서울특별시 송파구 올림픽로 지하23(잠실동),37.51097,127.0734
