,apt,zibun,new_zibun,new_apt,road,new_road,latitude,longitude,company,home_cnt,home_size,room_cnt,bath_cnt,bigo
0,인본,강남구 42-6,None,인본,학동로17길 13,None,0,0,None,0,0,0,0,None
1,삼경하이빌1,강남구 948-4,None,삼경하이빌 1,도곡로2길 46,None,0,0,None,0,0,0,0,None
2,삼경하이빌2,강남구 948-5,None,삼경하이빌 2,강남대로48길 15,None,0,0,None,0,0,0,0,None
3,세곡리엔파크(4단지),강남구 522,None,세곡리엔파크4단지,헌릉로590길 88,None,0,0,None,0,0,0,0,None
4,플래티늄1,강남구 729-35,None,플래티늄아파트,언주로75길 24,None,0,0,None,0,0,0,0,아파트없음
5,플래티늄1,강남구 729-35,None,플래티늄아파트,언주로75길 24,None,0,0,None,0,0,0,0,아파트없음
6,플래티늄1,강남구 729-35,강남구 역삼동 729-35,플래티늄,언주로75길 24,언주로75길 24,37.498557,127.042336,느낌종합건설(주),19,43.56,2,1,None
7,플래티늄1,강남구 729-35,강남구 역삼동 729-35,플래티늄,언주로75길 24,언주로75길 24,37.498557,127.042336,느낌종합건설(주),19,44.61,3,2,None
8,플래티늄1,강남구 729-35,강남구 역삼동 729-35,플래티늄,언주로75길 24,언주로75길 24,37.498557,127.042336,느낌종합건설(주),19,45.54,3,2,None
9,플래티늄1,강남구 729-35,강남구 역삼동 729-35,플래티늄,언주로75길 24,언주로75길 24,37.498557,127.042336,느낌종합건설(주),19,46.59,3,2,None
10,플래티늄1,강남구 729-35,강남구 역삼동 729-35,플래티늄,언주로75길 24,언주로75길 24,37.498557,127.042336,느낌종합건설(주),19,99.1,3,2,None
11,플래티늄1,강남구 729-35,강남구 역삼동 729-35,플래티늄,언주로75길 24,언주로75길 24,37.498557,127.042336,느낌종합건설(주),19,103.68,3,2,None
12,플래티늄1,강남구 729-35,강남구 역삼동 729-35,플래티늄,언주로75길 24,언주로75길 24,37.498557,127.042336,느낌종합건설(주),19,106.39,3,2,None
13,플래티늄1,강남구 729-35,None,플래티늄아파트,언주로75길 24,None,0,0,None,0,0,0,0,아파트없음
14,플래티늄1,강남구 729-35,강남구 역삼동 729-35,플래티늄,언주로75길 24,언주로75길 24,37.498557,127.042336,느낌종합건설(주),19,43.56,2,1,None
15,플래티늄1,강남구 729-35,강남구 역삼동 729-35,플래티늄,언주로75길 24,언주로75길 24,37.498557,127.042336,느낌종합건설(주),19,44.61,3,2,None
16,플래티늄1,강남구 729-35,강남구 역삼동 729-35,플래티늄,언주로75길 24,언주로75길 24,37.498557,127.042336,느낌종합건설(주),19,45.54,3,2,None
17,플래티늄1,강남구 729-35,강남구 역삼동 729-35,플래티늄,언주로75길 24,언주로75길 24,37.498557,127.042336,느낌종합건설(주),19,46.59,3,2,None
18,플래티늄1,강남구 729-35,강남구 역삼동 729-35,플래티늄,언주로75길 24,언주로75길 24,37.498557,127.042336,느낌종합건설(주),19,99.1,3,2,None
19,플래티늄1,강남구 729-35,강남구 역삼동 729-35,플래티늄,언주로75길 24,언주로75길 24,37.498557,127.042336,느낌종합건설(주),19,103.68,3,2,None
20,플래티늄1,강남구 729-35,강남구 역삼동 729-35,플래티늄,언주로75길 24,언주로75길 24,37.498557,127.042336,느낌종합건설(주),19,106.39,3,2,None
21,플래티늄1,강남구 729-35,None,플래티늄아파트,언주로75길 24,None,0,0,None,0,0,0,0,아파트없음
22,플래티늄1,강남구 729-35,None,플래티늄아파트,언주로75길 24,None,0,0,None,0,0,0,0,아파트없음
23,플래티늄1,강남구 729-35,None,,언주로75길 24,None,0,0,None,0,0,0,0,아파트없음
24,플래티늄1,강남구 729-35,None,플래티늄아파트,언주로75길 24,None,0,0,None,0,0,0,0,아파트없음
25,플래티늄1,강남구 729-35,None,플래티늄아파트,언주로75길 24,None,0,0,None,0,0,0,0,아파트없음
26,플래티늄1,강남구 729-35,None,플래티늄아파트,언주로75길 24,None,0,0,None,0,0,0,0,아파트없음
27,플래티늄1,강남구 729-35,None,플래티늄아파트,언주로75길 24,None,0,0,None,0,0,0,0,아파트없음
28,플래티늄1,강남구 729-35,None,플래티늄아파트,언주로75길 24,None,0,0,None,0,0,0,0,아파트없음
29,플래티늄1,강남구 729-35,None,플래티늄아파트,언주로75길 24,None,0,0,None,0,0,0,0,아파트없음
30,플래티늄1,강남구 729-35,None,플래티늄아파트,언주로75길 24,None,0,0,None,0,0,0,0,아파트없음
31,공무원아파트(8단지),강남구 611-1,None,,영동대로4길 17,None,0,0,None,0,0,0,0,아파트없음
32,공무원아파트(9단지),강남구 688,None,,영동대로4길 10,None,0,0,None,0,0,0,0,아파트없음
33,엘에이치강남브리즈힐,강남구 618,강남구 자곡동 618,LH강남브리즈힐,자곡로3길 45,자곡로3길 45,37.4729,127.090813,현대아산(주) 외1,402,74.04,3,2,None
34,엘에이치강남브리즈힐,강남구 618,강남구 자곡동 618,LH강남브리즈힐,자곡로3길 45,자곡로3길 45,37.4729,127.090813,현대아산(주) 외1,402,74.44,3,2,None
35,엘에이치강남브리즈힐,강남구 618,강남구 자곡동 618,LH강남브리즈힐,자곡로3길 45,자곡로3길 45,37.4729,127.090813,현대아산(주) 외1,402,74.93,3,2,None
36,엘에이치강남브리즈힐,강남구 618,강남구 자곡동 618,LH강남브리즈힐,자곡로3길 45,자곡로3길 45,37.4729,127.090813,현대아산(주) 외1,402,84.29,3,2,None
37,엘에이치강남브리즈힐,강남구 618,강남구 자곡동 618,LH강남브리즈힐,자곡로3길 45,자곡로3길 45,37.4729,127.090813,현대아산(주) 외1,402,84.98,3,2,None
38,엘에이치강남브리즈힐,강남구 618,강남구 자곡동 618,LH강남브리즈힐,자곡로3길 45,자곡로3길 45,37.4729,127.090813,현대아산(주) 외1,402,84.98,3,2,None
39,연세7차A동,강남구 127,None,연세빌라,압구정로79길 61-9,None,0,0,None,0,0,0,0,None
40,유니트로,강서구 847,None,유니트로,개화동로21길 49,None,0,0,None,0,0,0,0,None
41,까치타운,강서구 915-18,None,화곡타운,강서로7길 69-6,None,0,0,None,0,0,0,0,아파트없음
42,동서3호(381-22),강서구 381-22,None,동서아파트,강서로29길 42,None,0,0,None,0,0,0,0,아파트없음
43,블루힐(343-56),강서구 343-56,None,블루힐,강서로 43-13,None,0,0,None,0,0,0,0,아파트없음
44,아델리아Ⅰ,강서구 24-140,None,아델리아1,까치산로11길 12,None,0,0,None,0,0,0,0,아파트없음
45,아델리아Ⅲ,강서구 24-136,None,아델리아3,까치산로11길 20,None,0,0,None,0,0,0,0,아파트없음
46,원타워(343-43),강서구 343-43,None,원타워,곰달래로 121,None,0,0,None,0,0,0,0,아파트없음
47,유진아파트(938-24),강서구 938-24,None,유진아파트,곰달래로 62,None,0,0,None,0,0,0,0,아파트없음
48,한경빌(938-26),강서구 938-26,None,한경빌,곰달래로 64-1,None,0,0,None,0,0,0,0,None
49,행복타운(926-10),강서구 926-10,None,행복타운,강서로7길 97,None,0,0,None,0,0,0,0,아파트없음
50,행복타운2(914-17),강서구 914-17,None,행복타운,강서로5나길 64-1,None,0,0,None,0,0,0,0,아파트없음
51,YJ빌딩,관악구 1433-17,None,YJ빌딩,신림로65길 15-2,None,0,0,None,0,0,0,0,None
52,도안스위트빌,관악구 1417-43,None,도안스위트빌,봉천로14길 17,None,0,0,None,0,0,0,0,None
53,쎄븐스에비뉴,관악구 1458-6,None,,신림동길 30,None,0,0,None,0,0,0,0,아파트없음
54,의함빌딩,관악구 706-47,None,의함빌딩,난곡로 195,None,0,0,None,0,0,0,0,None
55,자이바움,관악구 1432-4,None,자이바움,신림동3길 1,None,0,0,None,0,0,0,0,None
56,(738-118),구로구 738-118,None,,구로동로18길 20-7,None,0,0,None,0,0,0,0,아파트없음
57,(739-6),구로구 739-6,None,,구로동로12길 33,None,0,0,None,0,0,0,0,아파트없음
58,(742-62),구로구 742-62,None,,구로동로22길 55,None,0,0,None,0,0,0,0,아파트없음
59,(749-40),구로구 749-40,None,,구로동로20길 58-13,None,0,0,None,0,0,0,0,아파트없음
60,(770-19),구로구 770-19,None,,구로동로22길 88-8,None,0,0,None,0,0,0,0,아파트없음
61,(770-47),구로구 770-47,None,,구로동로20길 71,None,0,0,None,0,0,0,0,아파트없음
62,(771-16),구로구 771-16,None,,도림로 33-8,None,0,0,None,0,0,0,0,아파트없음
63,(771-6),구로구 771-6,None,,구로동로20길 70,None,0,0,None,0,0,0,0,아파트없음
64,(780-46),구로구 780-46,None,,도림로12길 11-7,None,0,0,None,0,0,0,0,아파트없음
65,(791-44),구로구 791-44,None,,도림로10길 35,None,0,0,None,0,0,0,0,아파트없음
66,(794-32),구로구 794-32,None,,도림로10길 4,None,0,0,None,0,0,0,0,아파트없음
67,(794-46),구로구 794-46,None,,도림로8길 5,None,0,0,None,0,0,0,0,아파트없음
68,(796-56),구로구 796-56,None,,도림로6길 37,None,0,0,None,0,0,0,0,아파트없음
69,(807-1),구로구 807-1,None,,구로동로8길 17,None,0,0,None,0,0,0,0,아파트없음
70,(807-1),구로구 807-1,None,,구로동로8길 17,None,0,0,None,0,0,0,0,아파트없음
71,(807-1),구로구 807-1,None,,구로동로8길 17,None,0,0,None,0,0,0,0,아파트없음
72,(807-1),구로구 807-1,None,,구로동로8길 17,None,0,0,None,0,0,0,0,아파트없음
73,구로두산(201동),구로구 1266,None,구로두산아파트,도림로 59,None,0,0,None,0,0,0,0,아파트없음
74,대영B동,구로구 799-7,None,,도림로8길 20,None,0,0,None,0,0,0,0,아파트없음
75,성지아파트(749-34),구로구 749-34,None,성지아파트,구로동로18길 53-3,None,0,0,None,0,0,0,0,아파트없음
76,공릉아파트,노원구 110,None,공릉아파트,화랑로51길 81,None,0,0,None,0,0,0,0,아파트없음
77,드림파크,노원구 661-21,None,,동일로174길 36,None,0,0,None,0,0,0,0,아파트없음
78,드림파크,노원구 661-21,None,,동일로174길 36,None,0,0,None,0,0,0,0,아파트없음
79,드림파크,노원구 661-21,None,,동일로174길 36,None,0,0,None,0,0,0,0,아파트없음
80,드림파크,노원구 661-21,None,,동일로174길 36,None,0,0,None,0,0,0,0,아파트없음
81,드림파크,노원구 661-21,None,,동일로174길 36,None,0,0,None,0,0,0,0,아파트없음
82,드림파크,노원구 661-21,None,,동일로174길 36,None,0,0,None,0,0,0,0,아파트없음
83,드림파크,노원구 661-21,None,,동일로174길 36,None,0,0,None,0,0,0,0,아파트없음
84,드림파크,노원구 661-21,None,,동일로174길 36,None,0,0,None,0,0,0,0,아파트없음
85,드림파크,노원구 661-21,None,,동일로174길 36,None,0,0,None,0,0,0,0,아파트없음
86,드림파크,노원구 661-21,None,,동일로174길 36,None,0,0,None,0,0,0,0,아파트없음
87,동아불암(1286-0),노원구 1286,노원구 상계동 1285,동아불암,덕릉로112길 13,덕릉로 780,37.667071,127.079914,동아건설산업,673,59.4,3,1,None
88,동아불암(1286-0),노원구 1286,노원구 상계동 1285,동아불암,덕릉로112길 13,덕릉로 780,37.667071,127.079914,동아건설산업,673,84.9,3,2,None
89,동아불암(1286-0),노원구 1286,노원구 상계동 1285,동아불암,덕릉로112길 13,덕릉로 780,37.667071,127.079914,동아건설산업,673,84.86,3,2,None
90,동아불암(1286-0),노원구 1286,노원구 상계동 1285,동아불암,덕릉로112길 13,덕릉로 780,37.667071,127.079914,동아건설산업,673,114.24,4,2,None
91,은빛3단지,노원구 1264,None,은빛3단지아파트,동일로250길 17,None,0,0,None,0,0,0,0,None
92,사슴1,노원구 321,None,월계사슴1단지아파트,월계로 372,None,0,0,None,0,0,0,0,None
93,청백(774),노원구 774,None,월계청백1단지아파트,초안산로 89,None,0,0,None,0,0,0,0,None
94,학여울청구117동(355),노원구 355,노원구 하계동 354,학여울청구,동일로207길 186,동일로207길 186,37.636244,127.061237,(주)청구,1476,59.4,3,1,None
95,학여울청구117동(355),노원구 355,노원구 하계동 354,학여울청구,동일로207길 186,동일로207길 186,37.636244,127.061237,(주)청구,1476,84.77,3,2,None
96,학여울청구117동(355),노원구 355,노원구 하계동 354,학여울청구,동일로207길 186,동일로207길 186,37.636244,127.061237,(주)청구,1476,113.51,4,2,None
97,하이브빌2,도봉구 655-7,None,하이브빌Ⅱ,도봉로110나길 9,None,0,0,None,0,0,0,0,None
98,우정B(344-6),동대문구 344-6,None,우정아파트 B,장한로26나길 10,None,0,0,None,0,0,0,0,None
99,정암(363-11),동대문구 363-11,None,정암아파트,장한로26가길 106,None,0,0,None,0,0,0,0,아파트없음
100,한마음,동대문구 372-7,None,,장한로23길 11-9,None,0,0,None,0,0,0,0,아파트없음
101,한마음,동대문구 372-7,None,,장한로23길 11-9,None,0,0,None,0,0,0,0,아파트없음
102,한마음,동대문구 372-7,None,,장한로23길 11-9,None,0,0,None,0,0,0,0,아파트없음
